name,billable
Out of Office,False
18F General,False
PIF Program,False
18F Admin/Ops,False
18F Recruiting/Interviewing,False
Ops/Acquisitions,False
Ops/Legal,False
Ops/Budget & Finance ,False
Ops/Project Luca,False
Outreach/18F Site,False
"Outreach/Communications (blogs, messaging, etc)",False
Outreach/Events,False
Guilds,False
Workgroups,False
API.Data.gov,False
/Developer Program,False
MyUSA,True
FOIA Modernization,True
openFEC,True
18Fâ€™s Open Source Policy,False
Air Force Small Biz,True
USCIS,True
Midas,True
FBOpen,False
CAP Communicart,True
Peace Corps,True
Consulting Services,False
Income Verification Pilot,True
Web Maker / NotAlone.gov,True
Web Maker / myRA,True
Web Maker / EITI,True
OASIS,True
18F Dashboard,False
GSA CIO Support,False
Consulting / DOL WHD,True
Consulting / GSA OHRM,True
Consulting / SSA DCPS,True
Consulting / DATA Act,True
Consulting / Navy Reserve - R2S,True
GSA - FICAM,True
Trusted Internet Connection 3.0,False
Platform as a Service,False
Climate Project,False
Digital Analytics Program,False
Agile Corps,False
Dogfood,False
R2H,False
Seeds,False
Consulting - Agile BPA,False
Developer Program - CMS,True